Address, Norm, Geo, Reverse, NTime, GTime, RTime
"3000 MacArthur Blvd, Chicago, IL 60062","3000 MacArthur Blvd, Northbrook, IL 60062, United States","42.1483002,-87.8554382","3000 MacArthur Blvd, Northbrook, IL 60062, United States","0.63","0.072","0.142"
"17 E Monroe St Chicago, IL 60603","17 E Monroe St, Chicago, IL 60603, United States","41.8807632,-87.627163","12 E Monroe St, Chicago, IL 60603, United States","0.132","0.074","0.074"
"1000 Central St Chicago, IL 60201","1000 Central St, Evanston, IL 60201, United States","42.0641899,-87.6850815","1000 Central St, Evanston, IL 60201, United States","0.105","0.077","0.093"
"2744 1/2 N. Hampden Ct, Chicago, 60614","2744 N Hampden Ct, Chicago, IL 60614, United States","41.9318625,-87.6421508","2743 N Hampden Ct, Chicago, IL 60614, United States","0.144","0.084","0.078"
"1407 1/2 N Wells St, Chicago, 60610","1407 N Wells St, Chicago, IL 60610, United States","41.907959,-87.6346207","1407 N Wells St, Chicago, IL 60610, United States","0.181","0.08","0.074"
"3819 N. Ashland, Chicago, IL 60613","3819 N Ashland Ave, Chicago, IL 60613, United States","41.9512901,-87.6689606","3819 N Ashland Ave, Chicago, IL 60613, United States","0.094","0.076","0.074"
"2320 N Damen, Chicago, ILLINOIS IL","2320 N Damen Ave, Chicago, IL 60647, United States","41.9235916,-87.6778336","2320 N Damen Ave, Chicago, IL 60647, United States","0.089","0.102","0.077"
"1049 W Oakdale Ave Chicago IL 60657","1049 W Oakdale Ave, Chicago, IL 60657, United States","41.9352684,-87.6558838","1049 W Oakdale Ave, Chicago, IL 60657, United States","0.099","0.071","0.079"
"201 E. Delaware Pl. -- Raffaello Hotel, Chicago, IL 60611","201 E Delaware Pl, Chicago, IL 60611, United States","41.8992615,-87.62146","201 E Delaware Pl, Chicago, IL 60611, United States","0.19","0.074","0.077"
"852 W Oakdale Chicago IL 60614","852 W Oakdale Ave, Chicago, IL 60657, United States","41.9353981,-87.6511765","852 W Oakdale Ave, Chicago, IL 60657, United States","0.127","0.084","0.073"
"W Hotel 644 North Lake Shore Drive, Chicago, IL 6011","644 N Lake Shore Dr, Chicago, IL 60611, United States","41.8938651,-87.615125","644 N Lake Shore Dr, Chicago, IL 60611, United States","0.239","0.069","0.072"
"110 N Wacker Drive Chicago IL 60601","110 N Wacker Dr, Chicago, IL 60606, United States","41.8837814,-87.6370468","110 N Wacker Dr, Chicago, IL 60606, United States","0.099","0.073","0.072"
"1850 W Fulton Chicago 60612","1850 W Fulton St, Chicago, IL 60612, United States","41.8868103,-87.6740189","1850 W Fulton St, Chicago, IL 60612, United States","0.077","0.069","0.071"
"71 s wacker Chicago IL 60606","71 S Wacker Dr, Chicago, IL 60606, United States","41.8811607,-87.6367264","71 S Wacker Dr, Chicago, IL 60606, United States","0.087","0.073","0.073"
"2550 N. Lakeview Chicago IL 60614","2550 N Lakeview Ave, Chicago, IL 60614, United States","41.929126,-87.6392249","2550 N Lakeview Ave, Chicago, IL 60614, United States","0.102","0.069","0.071"
"1429 N. Wells St, Chicago IL 60610","1429 N Wells St, Chicago, IL 60610, United States","41.9085007,-87.6346436","1429 N Wells St, Chicago, IL 60610, United States","0.08","0.074","0.074"
"5605 N.Wayne Chicago IL 60660","5605 N Wayne Ave, Chicago, IL 60660, United States","41.9837615,-87.6635529","5611 N Wayne Ave, Chicago, IL 60660, United States","0.179","0.071","0.071"
"401 north wabash, Chicago IL 60611","401 N Wabash Ave, Chicago, IL 60611, United States","41.8891602,-87.6267776","401 Irv Kupcinet Brg, Chicago, IL 60611, United States","0.086","0.071","0.075"
"111 S Wacker Chicago IL 60603","111 S Wacker Dr, Chicago, IL 60606, United States","41.8803201,-87.6367","105 S Wacker Dr, Chicago, IL 60606, United States","0.084","0.07","0.072"
"903 W. Addison Chicago IL 60657","903 W Addison St, Chicago, IL 60613, United States","41.9472694,-87.6521072","903 W Addison St, Chicago, IL 60613, United States","0.121","0.07","0.071"
"990 N. Lake Shore Dr. Chicago IL 60077","990 N Lake Shore Dr, Chicago, IL 60611, United States","41.9004288,-87.6194763","990 N Lake Shore Dr, Chicago, IL 60611, United States","0.116","0.07","0.072"
"2550 N. Lakeview Chicago IL 60614","2550 N Lakeview Ave, Chicago, IL 60614, United States","41.929126,-87.6392249","2550 N Lakeview Ave, Chicago, IL 60614, United States","0.068","0.072","0.072"
"1420 w hood Chicago IL 60660","1420 W Hood Ave, Chicago, IL 60660, United States","41.9935684,-87.6661682","1420 W Hood Ave, Chicago, IL 60660, United States","0.093","0.072","0.074"
