Address, Norm, Geo, Reverse, NTime, GTime, RTime
"3000 MacArthur Blvd, Chicago, IL 60062","MacArthur Dr, Melrose Park, IL 60164","41.92485046386719,-87.89903259277344","N Roy Ave & MacArthur Dr, Melrose Park, IL 60164","0.958","0.097","0.107"
"17 E Monroe St Chicago, IL 60603","17 E Monroe St, Chicago, IL 60603","41.88072234392166,-87.62715093791485","37 E Monroe St, Chicago, IL 60603","0.37","0.38","0.433"
"1000 Central St Chicago, IL 60201","1000 Central St, Evanston, IL 60201","42.063339,-87.685104","Street, Evanston, IL 60201","0.202","0.207","0.062"
"2744 1/2 N. Hampden Ct, Chicago, 60614","2744 N Hampden Ct, Chicago, IL 60614","41.931849271059036,-87.64221020042896","2740 N Hampden Ct, Chicago, IL 60614","0.103","0.091","0.093"
"1407 1/2 N Wells St, Chicago, 60610","1407 N Wells St, Chicago, IL 60610","41.908001,-87.634155","180 W Schiller St, Chicago, IL 60610","0.15","0.186","0.088"
"3819 N. Ashland, Chicago, IL 60613","3819 N Ashland Ave, Chicago, IL 60613","41.95130157470703,-87.6684799194336","Street, Chicago, IL 60613","0.143","0.313","0.094"
"2320 N Damen, Chicago, ILLINOIS IL","","0.0,0.0","","0.106","0.134","0.06"
"1049 W Oakdale Ave Chicago IL 60657","1049 W Oakdale Ave, Chicago, IL 60657","41.935062,-87.655876","1079 W Oakdale Ave, Chicago, IL 60657","0.258","0.29","0.064"
"201 E. Delaware Pl. -- Raffaello Hotel, Chicago, IL 60611","","0.0,0.0","","0.142","0.167","0.05"
"852 W Oakdale Chicago IL 60614","852 W Oakdale Ave, Chicago, IL 60657","41.93567657470703,-87.65118408203125","Street, Chicago, IL 60657","0.241","0.159","0.2"
"W Hotel 644 North Lake Shore Drive, Chicago, IL 6011","","0.0,0.0","","0.18","0.139","0.036"
"110 N Wacker Drive Chicago IL 60601","110 N Wacker Dr, Chicago, IL 60606","41.883774,-87.637802","112 N Lower Wacker Dr, Chicago, IL 60606","0.108","0.112","0.086"
"1850 W Fulton Chicago 60612","1850 W Fulton St, Chicago, IL 60612","41.887081146240234,-87.67402648925781","309 N Wolcott Ave, Chicago, IL 60612","0.137","0.119","0.05"
"71 s wacker Chicago IL 60606","71 S Wacker Dr, Chicago, IL 60606","41.88112400472164,-87.63666540384293","S Lower Wacker Dr, Chicago, IL 60606","0.216","0.206","0.08"
"2550 N. Lakeview Chicago IL 60614","2550 N Lakeview Ave, Chicago, IL 60614","41.929134875535965,-87.63929061591625","2556 N Lakeview Ave, Chicago, IL 60614","0.139","0.178","0.079"
"1429 N. Wells St, Chicago IL 60610","1429 N Wells St, Chicago, IL 60610","41.908569,-87.634117","1459 N Wells St, Chicago, IL 60610","0.216","0.133","0.046"
"5605 N.Wayne Chicago IL 60660","5605 N Wayne Ave, Chicago, IL 60660","41.983837,-87.663315","5607 N Wayne Ave, Chicago, IL 60660","0.121","0.126","0.061"
"401 north wabash, Chicago IL 60611","401 N Wabash Ave, Chicago, IL 60611","41.888946533203125,-87.62630462646484","59 E Kinzie St, Chicago, IL 60611","0.128","0.115","0.064"
"111 S Wacker Chicago IL 60603","111 S Wacker Dr, Chicago, IL 60606","41.880470275878906,-87.63643646240234","115 S Lower Wacker Dr, Chicago, IL 60606","0.191","0.174","0.093"
"903 W. Addison Chicago IL 60657","903 W Addison St, Chicago, IL 60613","41.94703674316406,-87.65211486816406","3586 N Fremont St, Chicago, IL 60657","0.194","0.205","0.07"
"990 N. Lake Shore Dr. Chicago IL 60077","990 N Lake Shore Dr, Chicago, IL 60611","41.90030850470066,-87.6194415986538","970 N Lake Shore Dr, Chicago, IL 60611","0.455","0.422","0.055"
"2550 N. Lakeview Chicago IL 60614","2550 N Lakeview Ave, Chicago, IL 60614","41.929134875535965,-87.63929061591625","2556 N Lakeview Ave, Chicago, IL 60614","0.146","0.172","0.082"
"1420 w hood Chicago IL 60660","1420 W Hood Ave, Chicago, IL 60660","41.99381637573242,-87.66617584228516","1438 W Hood Ave, Chicago, IL 60660","0.229","0.248","0.058"
